Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,Apoapsis,Periapsis,Inclination,OrbitalVelocity,TargetDistance,
1,3,1.66,6.5,1853.54,1.48,127.63,98.2,85,0,0.1,175,0,
2,10,1.77,7.62,2204.89,1.77,126.65,104.83,97,0,0.1,175,0,
3,18,1.79,7.76,2205.51,1.79,125.66,119.1,123,0,0.1,176,0,
4,26,1.8,7.89,2206.24,1.8,124.68,141.16,162,0,0.11,178,0,
5,34,1.81,8.02,2207.47,1.82,123.68,171.81,218,0,0.13,179,0,
6,42,1.83,8.15,2209.13,1.84,122.71,209.14,286,0,0.13,181,0,
7,50,1.84,8.29,2210.66,1.85,121.73,255.32,372,0,0.14,183,0,
8,59,1.85,8.43,2212.9,1.87,120.75,309.79,473,0,0.13,187,0,
9,67,1.86,8.59,2215.58,1.89,119.74,373.98,593,0,0.13,191,0,
10,76,1.87,8.75,2217.87,1.9,118.78,443.98,724,0,0.12,195,0,
11,84,1.89,8.87,2221.05,1.92,117.79,523.92,875,0,0.11,201,0,
12,93,1.9,8.99,2224.68,1.94,116.81,612.61,1044,0,0.1,206,0,
13,103,1.92,9.14,2227.67,1.96,115.81,712.2,1236,0,0.1,211,0,
14,112,1.93,9.28,2231.71,1.98,114.82,818.94,1442,0,0.1,218,0,
15,121,1.94,9.45,2236.18,2,113.86,932.37,1663,0,0.11,224,0,
16,130,1.95,9.54,2239.78,2.02,112.88,1057.27,1908,0,0.14,231,0,
17,140,1.97,9.69,2244.53,2.04,111.87,1194.27,2179,0,0.16,238,0,
18,150,1.98,9.85,2249.7,2.07,110.89,1338.1,2464,0,0.31,246,0,
19,160,1.99,9.99,2253.8,2.09,109.92,1488.29,2764,0,0.5,254,0,
20,170,2,10.15,2259.12,2.11,108.92,1654.36,3096,0,0.74,262,0,
21,180,2.01,10.34,2264.82,2.14,107.96,1823.33,3434,0,1.02,271,0,
22,190,2.02,10.49,2269.27,2.16,106.97,2005.31,3802,0,1.32,280,0,
23,200,2.03,10.65,2274.99,2.19,105.99,2196.98,4189,0,1.66,290,0,
24,211,2.03,10.86,2281.03,2.21,104.99,2402.4,4602,0,2.05,300,0,
25,221,2.03,11.11,2285.7,2.24,104.02,2609.05,5013,0,2.49,310,0,
26,231,2.04,11.29,2291.62,2.26,103.02,2833.67,5460,0,3.01,321,0,
27,242,2.06,11.51,2297.81,2.3,102.05,3058.62,5908,0,3.59,332,0,
28,253,2.08,11.73,2302.54,2.32,101.05,3302.42,6401,0,4.19,343,0,
29,264,2.12,11.98,2308.52,2.35,100.09,3546.29,6907,0,4.69,355,0,
30,276,2.15,12.24,2314.73,2.38,99.08,3810.54,7467,0,5.12,366,0,
31,288,2.16,12.42,2319.46,2.41,98.1,4080.18,8042,0,5.61,378,0,
32,300,2.14,12.28,2325.42,2.44,97.14,4354.58,8623,0,6.19,390,0,
33,311,2.07,11.69,2331.54,2.47,96.15,4644.57,9221,0,6.82,401,0,
34,322,1.97,10.77,2336.17,2.5,95.15,4950.01,9824,0,7.5,412,0,
35,331,1.87,9.73,2341.91,2.53,94.16,5258.05,10405,0,8.16,421,0,
36,339,1.78,8.79,2347.63,2.57,93.2,5567.35,10965,0,8.79,429,0,
37,347,1.71,8.32,2352.07,2.6,92.22,5889.83,11523,0,9.53,437,0,
38,354,1.65,7.55,2357.4,2.63,91.23,6218.7,12076,0,10.33,443,0,
39,359,1.59,7.99,2362.66,2.67,90.25,6553.2,12606,0,11.42,447,0,
40,363,1.62,10.51,2366.69,2.7,89.27,6891.86,13073,0,13.18,448,0,
41,366,1.68,11.78,2371.48,2.74,88.26,7240.17,13515,0,15.39,448,0,
42,369,1.7,11.52,2376.13,2.77,87.3,7577.31,13957,0,17.56,449,0,
43,374,1.75,10.5,2379.68,2.81,86.31,7924.89,14475,0,19.51,451,0,
44,382,1.91,10.25,2383.9,2.84,85.31,8285.49,15134,0,20.93,457,0,
45,392,1.97,11.14,2388.07,2.89,84.33,8647.1,15848,0,22.12,465,0,
46,403,2.21,13.4,2391.28,2.92,83.36,9010.39,16616,0,23.1,476,0,
47,416,2.15,12.72,2395.09,2.96,82.36,9399.27,17464,0,23.57,489,0,
48,428,2.14,12.36,2398.78,3,81.4,9783.13,18311,0,23.76,501,0,
49,440,2.15,12.42,2401.59,3.04,80.41,10185.35,19206,0,23.78,513,0,
50,452,2.15,12.46,2404.88,3.08,79.43,10598.3,20130,0,23.51,526,0,
51,463,2.19,12.92,2408.04,3.13,78.44,11022.03,21080,0,22.85,538,0,
52,475,2.27,13.91,2410.43,3.17,77.44,11465.56,22109,0,21.8,550,0,
53,487,2.32,14.96,2413.22,3.21,76.48,11902.79,23126,0,20.83,563,0,
54,499,2.42,16.07,2415.87,3.26,75.47,12369.41,24208,0,19.62,577,0,
55,513,2.58,16.79,2417.86,3.3,74.51,12829.99,25416,0,18.63,592,0,
56,530,2.69,17.94,2420.18,3.35,73.51,13324.21,26806,0,17.97,609,0,
57,548,2.8,19.04,2422.39,3.4,72.54,13814.48,28232,0,17.49,627,0,
58,567,2.92,19.97,2424.05,3.45,71.56,14331.49,29839,0,17.13,647,0,
59,587,2.98,20.76,2425.96,3.5,70.57,14866.34,31544,0,16.7,667,0,
60,608,3.07,21.72,2427.77,3.56,69.59,15419.57,33357,0,16.43,688,0,
61,630,3.18,22.96,2429.1,3.6,68.59,16003.45,35334,0,16.47,711,0,
62,653,3.28,24.04,2430.63,3.66,67.62,16583.76,37362,0,16.78,734,0,
63,677,3.33,24.69,2432.05,3.72,66.64,17195.87,39539,0,17.16,759,0,
64,690,1.32,6.47,1099.03,1.7,66.03,17824.96,40973,0,17.39,772,0,
65,695,1.62,8.99,1099.41,2,55.95,18458.14,41948,0,17.59,778,0,
66,704,1.71,9.56,1099.79,2.01,55.59,19096.35,43112,0,17.79,787,0,
67,712,1.76,9.82,1100.12,2.03,55.23,19740.69,44353,0,17.92,796,0,
68,722,1.8,10.46,1100.41,2.04,54.86,20391.57,45620,0,18.06,806,0,
69,731,1.83,10.71,1100.62,2.06,54.5,21049.27,46932,0,18.19,817,0,
70,741,1.85,11.4,1100.86,2.07,54.13,21727.11,48292,0,18.33,827,0,
71,751,1.88,12.1,1101.07,2.09,53.78,22384.88,49569,0,18.5,838,0,
72,761,1.91,12.64,1101.22,2.1,53.41,23062.34,50908,0,18.64,849,0,
73,772,1.94,13.27,1101.38,2.11,53.05,23745.96,52226,0,18.8,861,0,
74,783,1.97,13.73,1101.53,2.13,52.68,24449.45,53600,0,18.99,873,0,
75,793,2,14.07,1101.63,2.14,52.32,25131.32,54949,0,19.14,885,0,
76,805,2.03,14.14,1101.74,2.16,51.96,25847.54,56414,0,19.33,898,0,
77,817,2.06,14.22,1101.84,2.18,51.59,26556.59,57930,0,19.52,911,0,
78,829,2.09,14.56,1101.91,2.19,51.24,27258.44,59472,0,19.68,924,0,
79,842,2.11,15.19,1101.98,2.21,50.87,27981.78,61051,0,19.81,938,0,
